iter	Logloss
0	0.6627784561
1	0.638232965
2	0.6153891718
3	0.5936463318
4	0.5738061872
5	0.55418724
6	0.5394482552
7	0.5234087738
8	0.51144212
9	0.4996456705
10	0.4887466127
11	0.4777519269
12	0.4679674422
13	0.4599557881
14	0.4531095689
15	0.4453004546
16	0.4370549404
17	0.4305127309
18	0.4258641248
19	0.4212353377
20	0.4170435785
21	0.413829139
22	0.4104281027
23	0.4070746114
24	0.4038043628
25	0.4009132637
26	0.398215096
27	0.3957134518
28	0.3915338607
29	0.3887947041
30	0.3869270737
31	0.3830938255
32	0.3801277199
33	0.3785444028
34	0.3760457592
35	0.3731194724
36	0.371810202
37	0.3705523032
38	0.3687402432
39	0.3669135587
40	0.365902742
41	0.364987949
42	0.3638548538
43	0.3624477249
44	0.3616724331
45	0.3607651104
46	0.3599099788
47	0.3587865803
48	0.3580255365
49	0.3569895556
50	0.3559107187
51	0.3550467445
52	0.3539813017
53	0.3534650449
54	0.3526574993
55	0.3514371758
56	0.350853684
57	0.3500835867
58	0.3496039373
59	0.3489470866
60	0.3484813346
61	0.3478061662
62	0.3470959628
63	0.3466861856
64	0.346417226
65	0.3459382068
66	0.3455179027
67	0.3441753223
68	0.3437488256
69	0.3432744245
70	0.3425161727
71	0.3419916562
72	0.3416942973
73	0.3415008089
74	0.3410119232
75	0.3407050398
76	0.3401436578
77	0.3398857929
78	0.3388867506
79	0.3385360584
80	0.3380829928
81	0.3379247867
82	0.3377090142
83	0.3374063768
84	0.3370900765
85	0.336655234
86	0.3363199943
87	0.3361264779
88	0.3357230353
89	0.3354318819
90	0.3351687106
91	0.3348678435
92	0.334688061
93	0.334349212
94	0.3341407678
95	0.3337006963
96	0.3330279305
97	0.3328587846
98	0.3326217519
99	0.3324619153
100	0.332099995
101	0.331993651
102	0.3317895733
103	0.3315559671
104	0.3311852665
105	0.3308790951
106	0.3306637614
107	0.3305373036
108	0.3302991309
109	0.3301051218
110	0.3297528852
111	0.3296352378
112	0.3293798444
113	0.3292622315
114	0.3291283313
115	0.3289003198
116	0.3286869025
117	0.3285770008
118	0.328472597
119	0.3283634287
120	0.3282674051
121	0.3279264653
122	0.3277805391
123	0.3275509316
124	0.3273970016
125	0.3271980862
126	0.3269048981
127	0.3267682469
128	0.3264980096
129	0.326104057
130	0.3259016248
131	0.325448598
132	0.32535237
133	0.3252399387
134	0.3250736858
135	0.3249927383
136	0.3248009384
137	0.3246337498
138	0.324528421
139	0.3243763882
140	0.3242811862
141	0.324205229
142	0.323997942
143	0.3237533056
144	0.3236739864
145	0.3234742773
146	0.3232164404
147	0.3230532182
148	0.3229753961
149	0.3227525619
150	0.3226660606
151	0.3224315316
152	0.3222569243
153	0.3221052722
154	0.3219931292
155	0.3218267301
156	0.3216510968
157	0.3214853774
158	0.321405572
159	0.321342826
160	0.3212056693
161	0.3210497798
162	0.3208564376
163	0.3207411778
164	0.3205954495
165	0.3205346889
166	0.3204097325
167	0.3202347037
168	0.3201192933
169	0.3200021062
170	0.3198814733
171	0.3196662794
172	0.3194822466
173	0.3194103783
174	0.3192000821
175	0.3190597033
176	0.3188907058
177	0.318796704
178	0.3187004889
179	0.31865078
180	0.3184650006
181	0.3183917063
182	0.3182549324
183	0.3181407051
184	0.3180262992
185	0.3179709999
186	0.3178043082
187	0.3177200181
188	0.3176686056
189	0.3176018696
190	0.3174597054
191	0.3173278659
192	0.3172437845
193	0.3171190109
194	0.3170203351
195	0.3167657806
196	0.3166221086
197	0.316469224
198	0.3164227157
199	0.3163632263
200	0.3162517758
201	0.3160799433
202	0.3160386813
203	0.3159867762
204	0.3158998963
205	0.3158442184
206	0.3158008978
207	0.3156925835
208	0.3156435779
209	0.3155802555
210	0.3154757914
211	0.3153989501
212	0.315344565
213	0.315187187
214	0.3151065557
215	0.3150380064
216	0.3148581637
217	0.3147549106
218	0.3146490269
219	0.3145526655
220	0.3145095256
221	0.3144556352
222	0.3143768559
223	0.3143332191
224	0.3142734931
225	0.3141423935
226	0.3140024922
227	0.3138260867
228	0.3137411879
229	0.3136626452
230	0.3136254162
231	0.3135570691
232	0.31346208
233	0.313431562
234	0.3133733331
235	0.3132952593
236	0.3132084246
237	0.3131643232
238	0.313121564
239	0.3130223548
240	0.31294894
241	0.3128185503
242	0.3127212209
243	0.3126135627
244	0.3125446111
245	0.3124934116
246	0.312406465
247	0.31232655
248	0.3122846813
249	0.3122038155
250	0.3120981125
251	0.3120558825
252	0.3120128652
253	0.3119676109
254	0.3118658485
255	0.3117330712
256	0.3115444675
257	0.3114081218
258	0.3113124573
259	0.3112732666
260	0.3112434154
261	0.3111359207
262	0.3109274055
263	0.3108029374
264	0.3107570034
265	0.3106758429
266	0.310606016
267	0.3105668059
268	0.3105349178
269	0.3104873533
270	0.3103787594
271	0.3102748954
272	0.3101955074
273	0.3101565038
274	0.3100707295
275	0.3099952175
276	0.3099603417
277	0.3099272769
278	0.3098769722
279	0.309815876
280	0.3097134446
281	0.3096625182
282	0.3095874859
283	0.309486345
284	0.3093698205
285	0.3093358028
286	0.3092285016
287	0.309194484
288	0.3091376317
289	0.3091103036
290	0.309068635
291	0.3090385408
292	0.3089230895
293	0.3088478593
294	0.3087542748
295	0.3087179643
296	0.3086510218
297	0.3085688095
298	0.3085354264
299	0.308458056
