iter	Passed	Remaining
0	254	75990
1	359	53588
2	473	46881
3	591	43778
4	717	42346
5	837	41013
6	953	39899
7	1081	39483
8	1202	38883
9	1323	38390
10	1466	38529
11	1589	38144
12	1707	37699
13	1823	37247
14	1938	36835
15	2059	36558
16	2177	36248
17	2293	35930
18	2412	35673
19	2529	35419
20	2651	35226
21	2766	34958
22	2881	34705
23	2997	34476
24	3114	34256
25	3235	34097
26	3352	33892
27	3469	33698
28	3585	33508
29	3708	33375
30	3834	33269
31	3955	33123
32	4072	32950
33	4194	32816
34	4313	32655
35	4429	32484
36	4546	32314
37	4666	32171
38	4782	32007
39	4899	31846
40	5017	31696
41	5138	31566
42	5265	31472
43	5390	31360
44	5509	31220
45	5626	31068
46	5751	30960
47	5877	30855
48	6004	30756
49	6129	30646
50	6255	30542
51	6377	30416
52	6506	30324
53	6626	30186
54	6737	30011
55	6857	29880
56	6986	29782
57	7117	29699
58	7243	29586
59	7367	29468
60	7487	29335
61	7603	29186
62	7716	29028
63	7835	28891
64	7953	28755
65	8071	28617
66	8191	28485
67	8319	28385
68	8447	28280
69	8600	28259
70	8745	28206
71	8865	28073
72	8981	27928
73	9100	27793
74	9237	27711
75	9398	27702
76	9545	27645
77	9695	27593
78	9831	27503
79	9971	27422
80	10132	27394
81	10285	27343
82	10424	27254
83	10564	27164
84	10686	27030
85	10809	26898
86	10927	26753
87	11045	26609
88	11183	26514
89	11309	26388
90	11436	26265
91	11555	26126
92	11671	25977
93	11784	25825
94	11901	25681
95	12041	25588
96	12184	25499
97	12324	25403
98	12453	25284
99	12587	25175
100	12722	25066
101	12850	24945
102	12966	24800
103	13087	24664
104	13215	24543
105	13335	24407
106	13458	24275
107	13584	24150
108	13704	24014
109	13820	23871
110	13939	23735
111	14054	23590
112	14167	23444
113	14275	23291
114	14388	23146
115	14500	23000
116	14606	22846
117	14717	22699
118	14833	22561
119	14958	22437
120	15077	22305
121	15192	22166
122	15307	22028
123	15438	21912
124	15603	21845
125	15761	21766
126	15904	21665
127	16059	21580
128	16211	21489
129	16356	21389
130	16500	21286
131	16645	21184
132	16781	21072
133	16926	20968
134	17077	20871
135	17238	20788
136	17384	20683
137	17527	20575
138	17662	20457
139	17797	20340
140	17934	20223
141	18070	20106
142	18214	19997
143	18370	19901
144	18518	19795
145	18665	19688
146	18804	19571
147	18957	19469
148	19088	19344
149	19221	19221
150	19358	19102
151	19517	19003
152	19662	18891
153	19807	18778
154	19951	18663
155	20104	18558
156	20254	18448
157	20410	18343
158	20555	18228
159	20697	18110
160	20853	18004
161	21009	17896
162	21178	17800
163	21335	17693
164	21479	17574
165	21614	17447
166	21746	17319
167	21876	17188
168	22005	17057
169	22128	16921
170	22250	16785
171	22390	16663
172	22532	16541
173	22683	16426
174	22833	16309
175	22967	16181
176	23087	16043
177	23213	15910
178	23340	15777
179	23468	15645
180	23601	15516
181	23729	15385
182	23861	15255
183	23986	15122
184	24125	14997
185	24259	14868
186	24392	14739
187	24522	14609
188	24656	14481
189	24788	14351
190	24915	14218
191	25052	14092
192	25185	13962
193	25324	13837
194	25476	13718
195	25624	13596
196	25768	13472
197	25919	13352
198	26060	13226
199	26205	13102
200	26361	12983
201	26501	12856
202	26671	12744
203	26860	12640
204	27009	12516
205	27158	12392
206	27309	12269
207	27474	12152
208	27645	12037
209	27793	11911
210	27945	11787
211	28090	11660
212	28244	11536
213	28392	11410
214	28537	11282
215	28685	11155
216	28824	11025
217	28969	10896
218	29109	10766
219	29260	10640
220	29395	10508
221	29526	10374
222	29650	10237
223	29794	10108
224	29966	9988
225	30150	9872
226	30313	9748
227	30450	9615
228	30586	9483
229	30733	9353
230	30874	9222
231	31015	9090
232	31141	8954
233	31264	8818
234	31393	8683
235	31514	8546
236	31647	8412
237	31774	8277
238	31897	8141
239	32012	8003
240	32130	7866
241	32254	7730
242	32372	7593
243	32491	7457
244	32606	7319
245	32729	7184
246	32853	7049
247	32970	6913
248	33095	6778
249	33219	6643
250	33340	6508
251	33466	6374
252	33582	6238
253	33701	6103
254	33821	5968
255	33943	5834
256	34063	5699
257	34182	5564
258	34299	5429
259	34427	5296
260	34546	5162
261	34673	5028
262	34797	4895
263	34919	4761
264	35040	4628
265	35151	4493
266	35275	4359
267	35399	4226
268	35527	4094
269	35653	3961
270	35794	3830
271	35923	3698
272	36044	3564
273	36163	3431
274	36284	3298
275	36405	3165
276	36528	3033
277	36647	2900
278	36770	2767
279	36888	2634
280	37006	2502
281	37128	2369
282	37242	2237
283	37365	2105
284	37485	1972
285	37609	1841
286	37732	1709
287	37855	1577
288	37967	1445
289	38118	1314
290	38255	1183
291	38377	1051
292	38491	919
293	38609	787
294	38723	656
295	38841	524
296	38958	393
297	39078	262
298	39195	131
299	39317	0
